date,Mkt-RF,SMB,HML,RMW,CMA,RF
1996-03-31,0.74,1.56,0.42,1.44,-0.95,0.39
1996-04-30,2.05,4.7,-3.97,-0.2,-2.03,0.46
1996-05-31,2.36,3.23,-0.9,0.03,-0.33,0.42
1996-06-30,-1.13,-3.67,2.33,3.5,1.2,0.4
1996-07-31,-5.96,-3.78,5.19,2.9,2.68,0.45
1996-08-31,2.77,2.58,-0.82,-0.38,-2.47,0.41
1996-09-30,5.01,-1.41,-2.74,1.3,-2.13,0.44
1996-10-31,0.87,-3.79,4.88,1.38,2.97,0.42
1996-11-30,6.25,-3.82,1.4,2.06,-0.69,0.41
1996-12-31,-1.7,3.19,1.28,0.23,1.49,0.46
1997-01-31,4.97,-1.82,-1.44,1.22,-0.07,0.45
1997-02-28,-0.48,-2.54,5.61,0.72,3.47,0.39
1997-03-31,-5.02,-0.41,3.39,0.39,1.53,0.43
1997-04-30,4.04,-5.7,0.0,3.36,-1.02,0.43
1997-05-31,6.73,4.68,-4.11,-1.04,-2.76,0.49
1997-06-30,4.1,1.17,1.44,0.56,0.45,0.37
1997-07-31,7.31,-2.74,0.13,0.18,-2.56,0.43
1997-08-31,-4.09,7.5,1.13,-1.02,-0.17,0.41
1997-09-30,5.34,2.48,0.24,-1.58,-0.93,0.44
1997-10-31,-3.81,-0.56,2.33,0.75,2.01,0.42
1997-11-30,2.99,-5.01,1.22,3.08,1.73,0.39
1997-12-31,1.36,-2.09,3.74,0.64,1.95,0.48
1998-01-31,0.14,-1.28,-1.68,0.91,-0.62,0.43
